QVD.LR04.numero-convenio;QVD.LR02.persona-numero;count(distinct[QVD.LR02.CruceLR02])
2275;1083915;1
2280;1186336;1
2299;58316082;1
2316;730436;1
2316;866525;1
2316;58745020;1
2320;26241;1
2369;1247325;1
2403;1030745;1
2408;58338489;1
2415;20227594;1
2415;58296060;1
2428;435655;1
2428;58290988;1
2432;79254;1
2438;73325;1
2448;558290;1
2452;95276;1
2452;461538;1
2452;730436;1
2452;20227594;1
2473;73649;1
2473;1295997;1
2477;806917;1
2477;1178746;1
2481;573419;1
2510;1321540;1
2524;558290;1
2568;95278;1
2568;391436;1
2611;733322;1
2617;521008;1
2617;1083915;1
2618;5296994;1
2634;476151;1
2647;661059;1
2697;796046;1
2698;69070;1
2708;58321114;1
2709;73649;1
2709;1182426;1
2714;80806;1
2714;510812;1
2734;461538;1
2791;1030745;1
2793;570651;1
2800;1257665;1
2813;636928;1
2813;857257;1
2823;396539;1
2845;1090413;1
2856;919695;1
2864;618167;1
2879;108880;1
2879;58300640;1
2887;185888;1
2901;454643;1
2903;58321114;1
2907;58321553;1
2921;20213535;1
2962;5337755;1
2992;20227594;1
3017;924759;1
3031;423445;1
3095;572539;1
3097;8235034;1
3107;461538;1
3107;1213382;1
3107;58321539;1
3221;392188;1
3236;508460;1
3236;784035;1
3236;58307658;1
3250;80806;1
3262;1273717;1
3330;435655;1
3380;585892;1
3380;919695;1
3380;7059373;1
3442;177807;1
3442;532002;1
3442;535349;1
3442;967851;1
3442;5109964;1
3497;436917;1
3497;866525;1
3612;1133675;1
3615;58317805;1
3621;574187;1
3621;806131;1
3621;1044767;1
3621;8000526;1
3629;194779;1
3629;796046;1
3652;5296994;1
3695;1284863;1
3725;58321539;1
3730;58302238;1
3733;95285;1
3754;58750904;1
3797;1117358;1
3819;1150270;1
3820;79254;1
3862;157968;1
3868;20028924;1
3873;5226237;1
3934;756588;1
3971;79254;1
3971;80806;1
3971;117775;1
3971;157815;1
3973;58289306;1
3977;1273717;1
4003;71526;1
4003;636919;1
4003;58324523;1
4004;1143665;1
4004;58316082;1
4049;482617;1
4049;1199939;1
4171;948354;1
4193;872911;1
4237;1083481;1
4237;58296060;1
4239;63706;1
4239;70652;1
4239;457763;1
4308;396526;1
4320;58334215;1
4334;77355;1
4356;58319542;1
4412;1178750;1
4423;76511;1
4442;358392;1
4443;65377;1
4467;431617;1
4545;1146066;1
4550;403490;1
4663;880077;1
4690;434459;1
4728;1174752;1
4738;1059243;1
4738;5109964;1
4738;58333649;1
4795;1247325;1
4835;581336;1
4888;24650322;1
4963;68668;1
4963;145974;1
4963;730435;1
5025;58331246;1
5045;58317805;1
5080;431617;1
5112;86118;1
5191;367844;1
5249;122922;1
5266;396539;1
5346;429609;1
5368;1090332;1
5482;606114;1
5503;71526;1
5540;435655;1
5554;796046;1
5554;1323992;1
5618;764137;1
5628;761498;1
5748;549670;1
5870;1338590;1
5899;919695;1
5913;58316035;1
5961;70652;1
6019;20213535;1
6099;63706;1
6115;149173;1
6378;730436;1
6378;58750904;1
6393;58289921;1
6530;574187;1
6530;806917;1
6786;581566;1
6803;80684;1
6803;568423;1
6803;581566;1
6803;1335854;1
6803;58303945;1
6936;58744188;1
7019;1273142;1
7144;20227594;1
7221;58320181;1
7296;764137;1
7699;58333748;1
8084;58321539;1
8236;568423;1
8236;581566;1
8346;538334;1
8346;58312456;1
8452;740555;1
8452;58293993;1
8516;502312;1
8561;58324124;1
8585;740552;1
8644;403490;1
8644;5279989;1
8645;868887;1
8733;117775;1
8926;570613;1
8961;431617;1
8969;521008;1
8969;58317804;1
9175;1090313;1
9257;108880;1
9319;613851;1
9349;864147;1
9462;476151;1
9577;20227594;1
9634;419661;1
9634;523210;1
9634;585892;1
9634;1171751;1
9821;461538;1
9905;95289;1
9905;747884;1
9942;20213535;1
10066;58278832;1
10211;58324124;1
10684;117775;1
10684;383807;1
10684;482617;1
10684;58317804;1
10684;58339687;1
10759;58333748;1
10865;1186336;1
10936;58316953;1
11099;654110;1
11105;636928;1
11105;58301337;1
11291;561957;1
11447;58289921;1
11560;434690;1
11568;95285;1
11568;761498;1
11619;396521;1
11619;784035;1
11661;867409;1
11708;1237315;1
11740;58292277;1
11778;1275687;1
11783;1171845;1
12064;1186336;1
12074;63706;1
12273;179417;1
12273;797413;1
12326;58750904;1
12789;186973;1
12812;58306850;1
12826;1090313;1
12848;1186336;1
12848;5279989;1
12866;108880;1
12885;1273717;1
12906;568423;1
12912;5531321;1
13007;1174752;1
13037;58338370;1
13088;58306850;1
13104;1016572;1
13104;1016573;1
13104;1272306;1
13104;5324868;1
13104;7091568;1
13265;570651;1
13265;829555;1
13265;987882;1
13339;174116;1
13339;1310768;1
13457;80806;1
13538;58745920;1
13538;58747995;1
13558;510812;1
13574;791522;1
13574;827362;1
13615;24650322;1
13685;58293993;1
13729;367844;1
13732;429609;1
13732;1171751;1
13732;8235034;1
13741;1276875;1
13741;20211518;1
13768;78297;1
13768;967851;1
13798;149570;1
13957;1162330;1
13985;1036086;1
14029;476151;1
14029;834225;1
14123;58293993;1
14169;428109;1
14246;157815;1
14288;769163;1
14288;983287;1
14288;20155487;1
14288;58316035;1
14298;1146066;1
14319;58294760;1
14516;71145;1
14617;63706;1
14634;944746;1
14635;95279;1
14718;5210994;1
14809;58289306;1
15025;58343134;1
15055;76511;1
15064;58292630;1
15071;58319542;1
15143;1090581;1
15173;5210994;1
15224;654107;1
15224;1059224;1
15282;58302573;1
15295;1119034;1
15313;721568;1
15404;613851;1
15584;1241928;1
15758;143574;1
15929;58278832;1
16310;79254;1
16469;737075;1
16723;58325948;1
16784;7061497;1
16789;20211518;1
16869;70652;1
16886;476041;1
16886;727574;1
16886;1335854;1
16913;58331391;1
16968;69070;1
16968;501724;1
16968;58293993;1
17020;58328912;1
17034;80806;1
17082;1133675;1
17098;5109964;1
17115;118747;1
17115;58753005;1
17216;24650322;1
17241;730436;1
17330;570651;1
17362;72571;1
17418;8000526;1
17583;20227594;1
17679;58289306;1
17833;1119034;1
17896;636358;1
17978;58742106;1
18124;77355;1
18230;1150270;1
18230;58744803;1
18310;568423;1
18327;1295997;1
18353;76147;1
50320;7090076;1
50579;7061497;1
50589;581336;1
50766;1268449;1
50798;5470798;1
50888;383807;1
51040;5021073;1
51062;5021073;1
51256;431617;1
52018;5470798;1
52027;5334312;1
52559;5334312;1
53099;5334312;1
54256;5470798;1
55070;1280909;1
55629;20003951;1
58988;5195108;1
59635;419661;1
60181;5470798;1
60304;570651;1
60304;58302033;1
60774;1090313;1
61480;5470798;1
61676;364733;1
62333;58334215;1
62645;58316082;1
62865;58307289;1
63240;68999;1
63240;118747;1
63707;5210994;1
64665;7061497;1
65659;58307289;1
65702;58307289;1
65770;924759;1
65778;461538;1
68010;58289306;1
68288;5422262;1
68317;981121;1
68743;143574;1
69850;58296060;1
69961;123630;1
70047;58320255;1
70384;58307289;1
5018383;508460;1
5018511;1036835;1
5018512;1241946;1
5018566;70652;1
5018566;1237315;1
5018743;517982;1
5018805;446686;1
5018951;761498;1
5019103;1114887;1
5019103;1114888;1
5019176;79482;1
5019293;63706;1
5019314;574187;1
5019325;76511;1
5019325;499028;1
5019419;471208;1
5019463;73649;1
5019481;1199939;1
5019482;396526;1
5019508;58321553;1
5019546;78042;1
5019546;179818;1
5019546;186973;1
5019636;431617;1
5019636;5604669;1
5019642;558290;1
5044770;1219153;1
5044829;983287;1
5044829;58292277;1
5044843;68999;1
5044843;58303412;1
5044853;68668;1
5044853;95277;1
5044853;730435;1
5044927;67121;1
5044971;79254;1
5044971;573419;1
5044982;1335854;1
5044983;79254;1
5044983;573419;1
5044985;681396;1
5044986;8000526;1
5045054;857257;1
5045066;98623;1
5045066;58301580;1
5045070;123630;1
5045070;143574;1
5045070;7104053;1
5045207;730436;1
5045217;58321539;1
5045274;435655;1
5045274;58302953;1
5045295;58293993;1
5045439;58750904;1
5045442;867409;1
5045442;941312;1
5045571;507018;1
5045580;80684;1
5045580;117773;1
5045580;396526;1
5045580;949514;1
5045592;1047340;1
5045596;137618;1
5045596;396521;1
5045596;747884;1
5045596;58324124;1
5045607;558290;1
5045607;1171751;1
5045694;532103;1
5045727;510812;1
5045727;533859;1
5045727;1202003;1
5045727;58301749;1
